                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2348,                 4.3522,                 1.5736,                0.15458,                  0.125,                0.00211,                 0.0007,                 2.6066,                    inf,                 21.116,                 0.0865,                 0.0015,                 0.0015
                      1,                 1.3871,                 3.5601,                 1.6732,                0.15458,                  0.125,                0.00211,                 0.0007,                 3.3515,                    inf,                 364.64,               0.072069,               0.003069,               0.003069
                      2,                 1.5383,                  3.363,                 1.7668,                0.15458,                  0.125,                0.00211,                 0.0007,                 2.9562,                    inf,                 231.97,               0.057606,              0.0046061,              0.0046061
                      3,                 1.4354,                 3.1267,                 1.6975,                0.15458,                  0.125,                0.00211,                 0.0007,                  3.487,                    inf,                 54.104,               0.043111,              0.0061112,              0.0061112
                      4,                 1.3912,                 2.9651,                 1.6128,                  5e-05,                0.02885,                  6e-05,                  2e-05,                 3.1788,                    inf,                 50.904,               0.028584,              0.0075843,              0.0075843
                      5,                  1.378,                 2.8539,                 1.6039,                0.00013,                0.10577,                0.00032,                 0.0001,                 3.9175,                    inf,                 67.601,               0.014025,              0.0090255,              0.0090255
                      6,                 1.3882,                 2.8428,                 1.6167,                0.00039,                0.13942,                0.00061,                0.00013,                 3.1466,                    inf,                 6.2221,              0.0094006,              0.0094006,              0.0094006
                      7,                 1.3013,                  2.724,                 1.5605,                0.38473,                0.01923,                0.00021,                0.00018,                 3.5857,                    inf,                 8.5729,              0.0094006,              0.0094006,              0.0094006
                      8,                 1.3052,                 2.6393,                 1.5544,                0.54621,                0.13462,                0.00968,                0.00311,                 2.8533,                 35.143,                 5.4859,              0.0093007,              0.0093007,              0.0093007
                      9,                 1.2491,                 2.5365,                 1.5023,                0.66625,                0.03846,                0.01298,                0.00575,                  2.534,                 7.0466,                 3.2384,              0.0092008,              0.0092008,              0.0092008
                     10,                 1.2472,                 2.4589,                 1.4791,                 0.6548,                0.01923,                0.00135,                0.00053,                 3.5316,                 14.255,                 5.5648,              0.0091009,              0.0091009,              0.0091009
                     11,                 1.2705,                 2.5162,                 1.5296,                0.00013,                0.02885,                0.00049,                0.00014,                 3.6133,                 6.8881,                 5.2817,               0.009001,               0.009001,               0.009001
                     12,                 1.2133,                 2.3735,                 1.4699,                0.89595,                0.01921,                0.00915,                0.00457,                 2.1325,                 6.7124,                  2.831,              0.0089011,              0.0089011,              0.0089011
                     13,                 1.0944,                 2.2537,                 1.3792,                0.20178,                0.32212,                0.22595,                0.16408,                 1.3205,                 4.4548,                 2.0035,              0.0088012,              0.0088012,              0.0088012
                     14,                 1.0977,                  2.213,                 1.3927,                0.38703,                0.36501,                0.28465,                0.21112,                 1.1734,                 3.6109,                 1.7739,              0.0087013,              0.0087013,              0.0087013
                     15,                  1.113,                 2.1582,                 1.3773,                0.43913,                0.48474,                0.39883,                0.29858,                 1.2028,                 2.9072,                 1.8057,              0.0086014,              0.0086014,              0.0086014
                     16,                 1.0907,                 2.2171,                 1.4011,                0.41754,                0.54339,                0.46071,                 0.3547,                 1.0288,                 2.6797,                 1.6189,              0.0085015,              0.0085015,              0.0085015
                     17,                 1.1213,                  2.186,                 1.4043,                0.38247,                0.37821,                0.38183,                0.27043,                 1.2274,                 2.7103,                 1.8031,              0.0084016,              0.0084016,              0.0084016
                     18,                 1.0995,                  2.167,                    1.4,                0.53248,                0.33654,                0.39852,                0.29896,                  1.032,                 2.8903,                 1.6488,              0.0083017,              0.0083017,              0.0083017
                     19,                  1.049,                  2.064,                 1.3501,                0.43975,                0.53542,                0.46824,                 0.3731,                0.98179,                 2.2131,                 1.4974,              0.0082018,              0.0082018,              0.0082018
                     20,                 1.0044,                 1.9881,                 1.3299,                0.41079,                0.61891,                0.57235,                  0.442,                0.96071,                 2.0253,                 1.4885,              0.0081019,              0.0081019,              0.0081019
                     21,                 1.0508,                 2.0287,                 1.3531,                0.42145,                0.52971,                0.51596,                0.39649,                 1.1103,                 2.1761,                 1.6422,               0.008002,               0.008002,               0.008002
                     22,                 1.0156,                 1.9749,                 1.3228,                0.22759,                0.33901,                0.27453,                 0.1944,                 1.2751,                 3.1046,                 1.8838,              0.0079021,              0.0079021,              0.0079021
                     23,                 1.0543,                  1.962,                 1.3498,                0.55718,                0.39599,                0.49385,                0.37921,                 1.0399,                 2.1878,                 1.5988,              0.0078022,              0.0078022,              0.0078022
                     24,                 1.0407,                 1.9314,                 1.3448,                0.39615,                0.60314,                0.54739,                0.39306,                 1.2328,                 2.0007,                 1.7284,              0.0077023,              0.0077023,              0.0077023
                     25,                0.99492,                 1.8964,                 1.3271,                0.44461,                0.64361,                0.65504,                0.52528,                0.91028,                    1.6,                 1.4526,              0.0076024,              0.0076024,              0.0076024
                     26,                0.92332,                 1.7647,                 1.2474,                0.45015,                0.58829,                0.59804,                0.47135,                0.89985,                 1.8228,                 1.4059,              0.0075025,              0.0075025,              0.0075025
                     27,                0.95833,                 1.7573,                 1.2906,                0.51743,                0.68858,                0.67426,                0.52632,                0.94518,                 1.7158,                  1.456,              0.0074026,              0.0074026,              0.0074026
                     28,                0.96151,                  1.804,                    1.3,                 0.7062,                0.59711,                0.70544,                0.56526,                 0.8768,                 1.4762,                 1.4162,              0.0073027,              0.0073027,              0.0073027
