                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.48421,                0.81533,                    1.1,                0.55358,                0.63958,                0.69684,                0.56186,                 0.8305,                 1.5223,                 1.3013,                 0.0865,                 0.0015,                 0.0015
                      1,                0.51112,                0.76928,                 1.0452,                0.72296,                0.68472,                0.82054,                0.67138,                0.79032,                 1.1266,                 1.3364,               0.072069,               0.003069,               0.003069
                      2,                0.49696,                 0.6376,                 1.0302,                0.80087,                0.78346,                0.88597,                0.76939,                0.61218,                0.85862,                  1.139,               0.057606,               0.004606,               0.004606
                      3,                0.49339,                0.65453,                  1.023,                0.75801,                0.78213,                0.85244,                 0.7315,                0.60762,                0.89917,                 1.1136,               0.043111,               0.006111,               0.006111
                      4,                0.50152,                0.60396,                  1.019,                0.71644,                0.71992,                0.78872,                0.69594,                0.62759,                 1.1623,                  1.155,               0.028584,               0.007584,               0.007584
                      5,                0.52688,                0.60291,                 1.0553,                0.84408,                0.81444,                0.89786,                0.77666,                0.62231,                0.71095,                 1.1495,               0.014025,               0.009025,               0.009025
                      6,                0.51825,                0.57722,                 1.0366,                0.78857,                0.78715,                0.87129,                0.73782,                0.72624,                0.88854,                 1.2306,                 0.0094,                 0.0094,                 0.0094
                      7,                0.55122,                  0.571,                 1.0461,                0.77525,                0.72916,                0.87354,                0.76183,                0.61122,                0.79571,                 1.1256,                 0.0094,                 0.0094,                 0.0094
                      8,                0.53005,                 0.5867,                 1.0182,                0.69519,                0.86699,                0.87362,                0.74683,                0.65706,                0.80414,                 1.1525,                 0.0093,                 0.0093,                 0.0093
                      9,                0.53197,                0.56551,                  1.045,                 0.8168,                0.79116,                 0.8975,                0.76615,                 0.6712,                0.72482,                 1.2009,                 0.0092,                 0.0092,                 0.0092
                     10,                0.54203,                0.59638,                 1.0545,                0.74343,                0.72509,                0.81725,                0.67538,                0.78539,                 1.0175,                  1.305,                 0.0091,                 0.0091,                 0.0091
                     11,                0.52806,                0.58776,                 1.0406,                0.70263,                0.72583,                0.79108,                0.66353,                0.77678,                 1.1267,                 1.3148,                  0.009,                  0.009,                  0.009
                     12,                0.51316,                0.54137,                 1.0205,                 0.8061,                0.85982,                0.90627,                0.79591,                0.63408,                0.71342,                 1.1452,                 0.0089,                 0.0089,                 0.0089
                     13,                0.53103,                0.55417,                 1.0374,                0.79029,                0.64856,                0.75099,                0.60996,                0.91896,                 1.1498,                 1.4468,                 0.0088,                 0.0088,                 0.0088
                     14,                0.51226,                0.54355,                 1.0071,                0.74234,                 0.8763,                0.88695,                0.77127,                0.62826,                 0.7636,                 1.1249,                 0.0087,                 0.0087,                 0.0087
                     15,                0.52321,                0.50175,                 1.0075,                0.85493,                 0.7986,                0.91542,                0.80302,                0.58356,                0.66503,                 1.1158,                 0.0086,                 0.0086,                 0.0086
                     16,                0.47907,                 0.4718,                 1.0028,                0.86276,                0.78154,                0.86334,                0.76277,                0.61672,                0.83176,                 1.1372,                 0.0085,                 0.0085,                 0.0085
