                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.168,                 4.5721,                 1.5421,                      0,                      0,                      0,                      0,                0.58693,                 4.1319,                 1.1994,                 0.0865,                 0.0015,                 0.0015
                      1,                0.78829,                 4.3281,                 1.2818,                0.03164,                0.13141,                0.04232,                0.03721,                0.56402,                 4.2383,                  1.171,               0.072069,              0.0030693,              0.0030693
                      2,                0.80679,                 4.0419,                 1.2684,                0.03374,                0.70032,                 0.1485,                0.12614,                0.67257,                 3.9799,                 1.2984,               0.057607,              0.0046069,              0.0046069
                      3,                0.84318,                  3.772,                 1.3157,                0.02554,                 0.9375,                0.26649,                0.21822,                 0.6728,                 3.4934,                 1.2451,               0.043113,              0.0061129,              0.0061129
                      4,                0.86663,                 3.4853,                 1.2831,                0.70504,                0.10097,                0.22562,                0.18373,                0.89038,                 3.4882,                 1.4942,               0.028587,              0.0075872,              0.0075872
                      5,                0.90874,                 3.2716,                 1.3134,                0.50609,                0.21181,                0.22682,                0.16679,                 1.0762,                  3.475,                  1.719,                0.01403,              0.0090297,              0.0090297
                      6,                0.95895,                 3.1433,                 1.3563,                0.30565,                0.45863,                  0.374,                0.28446,                 1.0152,                 2.9986,                 1.6332,               0.009406,               0.009406,               0.009406
                      7,                0.95506,                 2.9489,                 1.3332,                0.48549,                0.25693,                0.23035,                0.14576,                 1.3406,                 4.5355,                 2.0536,               0.009406,               0.009406,               0.009406
                      8,                0.94828,                 2.8551,                  1.326,                0.64992,                 0.1617,                0.22719,                0.14435,                  1.441,                 5.1934,                 2.2561,               0.009307,               0.009307,               0.009307
                      9,                0.91753,                 2.7408,                 1.3052,                0.39016,                0.28672,                0.23736,                0.15712,                 1.5678,                 12.336,                 2.6112,               0.009208,               0.009208,               0.009208
                     10,                0.91975,                 2.5997,                 1.2812,                0.41886,                0.53722,                0.52962,                0.41571,                0.94972,                 3.8659,                 1.5971,               0.009109,               0.009109,               0.009109
                     11,                 0.9401,                 2.5731,                 1.2999,                0.61183,                0.28884,                0.34896,                0.23415,                 1.5336,                 3.2636,                 2.3837,                0.00901,                0.00901,                0.00901
                     12,                0.91353,                 2.4185,                 1.2728,                0.49107,                0.34442,                0.43981,                0.30878,                 1.3001,                  2.882,                 2.1195,               0.008911,               0.008911,               0.008911
                     13,                0.86287,                 2.3157,                 1.2253,                0.47538,                0.59874,                0.59537,                0.48795,                0.88769,                 2.3568,                 1.5158,               0.008812,               0.008812,               0.008812
                     14,                0.88054,                 2.2849,                 1.2531,                0.33143,                 0.5136,                0.48908,                0.39017,                0.95826,                 2.5517,                 1.5483,               0.008713,               0.008713,               0.008713
                     15,                0.85305,                  2.167,                 1.2146,                0.57666,                0.54493,                0.57133,                0.40304,                 1.2323,                 2.4364,                 1.9296,               0.008614,               0.008614,               0.008614
                     16,                0.84995,                 2.1329,                 1.2477,                0.46622,                0.54173,                0.56498,                0.41187,                  1.128,                 2.6562,                 1.6338,               0.008515,               0.008515,               0.008515
                     17,                0.83149,                 2.0455,                 1.2159,                0.52904,                0.42265,                0.51284,                0.41608,                0.84446,                  2.893,                 1.3798,               0.008416,               0.008416,               0.008416
                     18,                0.82539,                 2.0193,                 1.2085,                0.52234,                0.35746,                0.47622,                0.32185,                 1.2998,                 2.8199,                 1.8478,               0.008317,               0.008317,               0.008317
                     19,                0.82611,                 1.9219,                 1.2197,                0.54269,                 0.5937,                0.66469,                0.48221,                 1.0716,                 2.3208,                 1.6814,               0.008218,               0.008218,               0.008218
                     20,                0.78257,                 1.8313,                 1.1812,                0.68704,                0.66988,                0.75898,                0.59253,                0.87496,                 1.8028,                 1.4552,               0.008119,               0.008119,               0.008119
                     21,                 0.8358,                 1.8761,                 1.2139,                0.60307,                0.72091,                0.71578,                0.56365,                0.87204,                 2.0027,                 1.4166,                0.00802,                0.00802,                0.00802
                     22,                0.79333,                 1.8222,                 1.1761,                0.86355,                 0.6436,                0.85752,                0.72258,                0.66384,                 1.2023,                 1.2131,               0.007921,               0.007921,               0.007921
                     23,                0.79492,                 1.7317,                 1.1776,                0.72013,                0.76141,                0.85788,                0.72446,                0.67926,                 1.2051,                 1.2163,               0.007822,               0.007822,               0.007822
                     24,                0.76497,                 1.6776,                 1.1755,                0.68379,                0.77318,                 0.8501,                0.70841,                 0.7242,                 1.3247,                  1.292,               0.007723,               0.007723,               0.007723
                     25,                0.76963,                  1.658,                 1.1743,                0.73265,                0.70122,                0.79087,                 0.6599,                0.76704,                 1.5422,                 1.3072,               0.007624,               0.007624,               0.007624
                     26,                0.76531,                 1.5931,                 1.1475,                0.69248,                0.76841,                0.81856,                0.69931,                0.65256,                 1.3714,                 1.1912,               0.007525,               0.007525,               0.007525
                     27,                0.74419,                 1.5336,                 1.1606,                0.64167,                 0.8287,                0.83988,                0.69837,                0.71919,                 1.2936,                 1.2539,               0.007426,               0.007426,               0.007426
                     28,                0.74915,                 1.5691,                 1.1644,                0.72987,                0.68013,                0.77544,                0.65026,                0.72572,                 1.6064,                 1.2951,               0.007327,               0.007327,               0.007327
