                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3151,                 5.2123,                 3.1456,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                 0.0865,                 0.0015,                 0.0015
                      1,                 2.9084,                 5.4158,                 3.8603,                0.03858,                0.02885,                 0.0001,                  1e-05,                  3.564,                    inf,                 88.836,               0.072069,               0.003069,               0.003069
                      2,                 2.6592,                 5.2357,                 3.4611,                  2e-05,                0.03846,                  2e-05,                      0,                 3.0353,                 6.0517,                 26.256,               0.057606,              0.0046061,              0.0046061
                      3,                 2.6845,                 5.0754,                 3.3176,                0.00011,                0.07692,                0.00013,                  3e-05,                 3.5479,                 12.139,                 9.8175,               0.043111,              0.0061112,              0.0061112
                      4,                 2.6885,                 4.9557,                 3.2793,                0.00011,                0.07692,                0.00013,                  3e-05,                 3.1223,                    inf,                  23.02,               0.028584,              0.0075843,              0.0075843
                      5,                 2.7494,                 4.8716,                 3.1922,                0.00011,                0.07692,                0.00013,                  3e-05,                 3.2308,                    inf,                 6.9964,               0.014025,              0.0090255,              0.0090255
                      6,                 2.7258,                 4.7572,                 3.1337,                0.00011,                0.07692,                0.00013,                  3e-05,                  4.922,                    inf,                 12.284,              0.0094006,              0.0094006,              0.0094006
                      7,                 2.6618,                 4.6975,                 3.1096,                0.23106,                0.02564,                0.00021,                  3e-05,                  5.109,                    inf,                 51.516,              0.0094006,              0.0094006,              0.0094006
                      8,                 2.6815,                 4.8178,                 3.1232,                0.23106,                0.02564,                0.00021,                  3e-05,                 6.1338,                    inf,                 29.981,              0.0093007,              0.0093007,              0.0093007
                      9,                 2.6149,                 4.6453,                 3.1156,                0.23106,                0.02564,                0.00021,                  3e-05,                 6.0355,                 23.656,                 8.5573,              0.0092008,              0.0092008,              0.0092008
                     10,                 2.6095,                 4.6878,                 3.0654,                0.00038,                0.01923,                0.00071,                0.00014,                 3.0006,                   39.9,                 14.245,              0.0091009,              0.0091009,              0.0091009
                     11,                 2.5609,                 4.5997,                 3.0531,                0.00016,                0.17949,                0.00095,                0.00022,                 2.9717,                 5.5331,                 4.1436,               0.009001,               0.009001,               0.009001
                     12,                  2.604,                 4.6084,                 3.0889,                0.00016,                0.17949,                0.00095,                0.00022,                 3.0737,                    inf,                 3.8916,              0.0089011,              0.0089011,              0.0089011
                     13,                  2.496,                 4.5881,                 3.0811,                0.00016,                0.17949,                0.00095,                0.00022,                 3.0497,                 5.1579,                  3.764,              0.0088012,              0.0088012,              0.0088012
                     14,                  2.501,                 4.5956,                 3.0571,                  1e-05,                0.01923,                  6e-05,                  3e-05,                 3.1983,                 6.4188,                 4.0875,              0.0087013,              0.0087013,              0.0087013
                     15,                 2.5197,                 4.5413,                 3.0567,                  5e-05,                0.01923,                  4e-05,                      0,                 3.2994,                 16.101,                 4.0854,              0.0086014,              0.0086014,              0.0086014
                     16,                 2.5243,                 4.4785,                  3.028,                  5e-05,                0.01923,                  4e-05,                      0,                 3.5779,                    inf,                 4.2155,              0.0085015,              0.0085015,              0.0085015
                     17,                  2.613,                 4.5365,                 3.0901,                  5e-05,                0.01923,                  4e-05,                      0,                 3.5317,                    inf,                 4.4103,              0.0084016,              0.0084016,              0.0084016
                     18,                 2.5478,                  4.381,                 3.0524,                  5e-05,                0.01923,                  4e-05,                      0,                 3.4034,                    inf,                 4.3673,              0.0083017,              0.0083017,              0.0083017
                     19,                  2.518,                 4.2923,                 3.0208,                  5e-05,                0.01923,                  4e-05,                      0,                 3.4538,                    inf,                 4.1057,              0.0082018,              0.0082018,              0.0082018
                     20,                 2.5595,                 4.2097,                 3.0304,                  5e-05,                0.01923,                  4e-05,                      0,                 3.6203,                    inf,                 5.6113,              0.0081019,              0.0081019,              0.0081019
                     21,                  2.581,                 4.1957,                  3.025,                  5e-05,                0.01923,                  4e-05,                      0,                 3.3836,                 6.2465,                 7.0954,               0.008002,               0.008002,               0.008002
                     22,                 2.5537,                 4.1956,                 3.0191,                  5e-05,                0.01923,                  4e-05,                      0,                 3.3184,                 5.6642,                 4.8354,              0.0079021,              0.0079021,              0.0079021
                     23,                 2.5847,                 4.2526,                 3.0399,                  5e-05,                0.01923,                  4e-05,                      0,                 3.5455,                    inf,                 5.2081,              0.0078022,              0.0078022,              0.0078022
                     24,                 2.5798,                 4.1656,                 3.0633,                      0,                0.01923,                0.00022,                  6e-05,                 3.4331,                 6.0943,                 4.7878,              0.0077023,              0.0077023,              0.0077023
                     25,                   2.53,                 4.1275,                 3.0366,                  6e-05,                0.00962,                  7e-05,                  2e-05,                 3.3958,                 9.3109,                 4.3304,              0.0076024,              0.0076024,              0.0076024
                     26,                 2.5106,                 4.1041,                 3.0668,                0.01175,                0.01923,                0.00735,                0.00147,                 3.2868,                 5.4624,                 4.5118,              0.0075025,              0.0075025,              0.0075025
                     27,                 2.6037,                 4.0974,                 3.0905,                0.01175,                0.01923,                0.00735,                0.00147,                 3.4644,                 6.0591,                 4.6593,              0.0074026,              0.0074026,              0.0074026
                     28,                 2.4781,                 4.1958,                 3.0416,                0.03851,                0.01923,                0.00038,                  9e-05,                 3.8308,                    inf,                 5.5038,              0.0073027,              0.0073027,              0.0073027
                     29,                 2.5002,                 4.1094,                 3.0421,                0.07759,                0.04808,                0.00031,                0.00012,                 4.1502,                    inf,                 9.1085,              0.0072028,              0.0072028,              0.0072028
                     30,                 2.5161,                 4.1354,                 3.0552,                0.07759,                0.04808,                0.00031,                0.00012,                 3.5179,                    inf,                 4.9114,              0.0071029,              0.0071029,              0.0071029
                     31,                 2.4551,                 4.0313,                 3.0302,                  0.077,                0.01923,                  4e-05,                  1e-05,                 3.3628,                    inf,                 4.2553,               0.007003,               0.007003,               0.007003
                     32,                 2.5065,                 4.0561,                 3.0054,                  0.077,                0.01923,                  4e-05,                  1e-05,                 3.1834,                 6.3103,                 4.1558,              0.0069031,              0.0069031,              0.0069031
                     33,                 2.4278,                 4.0522,                 2.9766,                  8e-05,                0.02885,                  9e-05,                  3e-05,                 3.3697,                 5.7508,                 4.4522,              0.0068032,              0.0068032,              0.0068032
                     34,                 2.4657,                 4.0485,                  2.982,                  8e-05,                0.02885,                  9e-05,                  3e-05,                 3.2598,                 6.0822,                 4.2722,              0.0067033,              0.0067033,              0.0067033
