                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2326,                 4.3358,                 1.5675,                0.23981,                0.09615,                0.00808,                0.00237,                  2.771,                 69.851,                 14.398,                 0.0865,                 0.0015,                 0.0015
                      1,                 1.4104,                 3.6092,                 1.6946,                0.23981,                0.09615,                0.00808,                0.00237,                 3.9292,                    inf,                 863.81,               0.072069,               0.003069,               0.003069
                      2,                 1.6237,                 3.5231,                 1.8155,                0.23981,                0.09615,                0.00808,                0.00237,                 3.8161,                    inf,                 811.35,               0.057606,              0.0046061,              0.0046061
                      3,                 1.4867,                 3.1684,                 1.7205,                0.23981,                0.09615,                0.00808,                0.00237,                   3.18,                    inf,                 640.85,               0.043111,              0.0061112,              0.0061112
                      4,                 1.4361,                 3.0245,                 1.6405,                0.23981,                0.09615,                0.00808,                0.00237,                 3.5186,                    inf,                 56.107,               0.028584,              0.0075843,              0.0075843
                      5,                 1.4291,                 2.9436,                  1.646,                0.07716,                0.04167,                0.00045,                 0.0001,                 3.2563,                    inf,                 36.778,               0.014025,              0.0090255,              0.0090255
                      6,                 1.4757,                 2.9389,                 1.6913,                0.61993,                0.00962,                0.00206,                0.00054,                 3.0341,                 13.973,                 5.3672,              0.0094006,              0.0094006,              0.0094006
                      7,                 1.4179,                 2.8137,                 1.6461,                0.76754,                0.00962,                0.01253,                0.00448,                 2.8807,                 8.8382,                 4.1554,              0.0094006,              0.0094006,              0.0094006
                      8,                  1.407,                  2.721,                 1.6342,                0.64056,                0.03846,                0.02955,                0.00652,                 2.7724,                 19.627,                 3.9074,              0.0093007,              0.0093007,              0.0093007
                      9,                 1.3252,                 2.6453,                 1.5857,                0.00024,                0.14423,                0.00075,                0.00018,                 3.1465,                 8.5855,                 4.9937,              0.0092008,              0.0092008,              0.0092008
                     10,                 1.2617,                 2.5764,                 1.5074,                0.00024,                0.14423,                0.00075,                0.00018,                 3.8909,                 7.3308,                 5.9284,              0.0091009,              0.0091009,              0.0091009
                     11,                 1.2781,                 2.5924,                 1.5491,                 0.3841,                0.40705,                0.22982,                0.16709,                 1.5025,                 4.1502,                 2.2203,               0.009001,               0.009001,               0.009001
                     12,                 1.1871,                 2.4499,                  1.467,                0.76153,                0.02885,                0.01505,                0.00318,                 3.3701,                 30.084,                 5.8565,              0.0089011,              0.0089011,              0.0089011
