                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.45136,                0.49409,                0.99671,                0.62965,                0.67672,                 0.7318,                0.60689,                0.80142,                  1.444,                 1.3485,                 0.0865,                 0.0015,                 0.0015
                      1,                0.52603,                0.62221,                 1.0637,                0.71648,                0.76212,                0.85177,                0.70548,                0.73807,                 1.1712,                 1.2853,               0.072069,               0.003069,               0.003069
                      2,                 0.5751,                0.66482,                 1.0691,                0.65335,                0.59565,                0.71017,                0.55473,                0.86167,                  1.642,                 1.3903,               0.057606,              0.0046061,              0.0046061
                      3,                0.58873,                0.75156,                  1.106,                0.75111,                0.68901,                0.82352,                0.69495,                0.79543,                 1.2288,                 1.3035,               0.043111,              0.0061112,              0.0061112
                      4,                0.59454,                0.74729,                 1.0983,                0.77871,                 0.6115,                   0.81,                0.65709,                0.85548,                 1.3006,                 1.4339,               0.028584,              0.0075843,              0.0075843
                      5,                0.62944,                0.72393,                 1.1246,                0.60265,                0.63515,                0.69618,                0.55506,                0.88865,                 1.5257,                 1.5117,               0.014025,              0.0090255,              0.0090255
                      6,                0.66706,                0.74999,                 1.1603,                0.75021,                0.60707,                0.70626,                0.59117,                0.81662,                 1.4149,                 1.3368,              0.0094006,              0.0094006,              0.0094006
                      7,                0.64639,                0.74242,                 1.1299,                0.53749,                0.70332,                0.73312,                 0.5857,                 0.8531,                 1.5401,                 1.3485,              0.0094006,              0.0094006,              0.0094006
                      8,                0.61343,                0.75833,                 1.1068,                0.57517,                 0.5463,                 0.6126,                0.47461,                 1.0385,                 1.7311,                 1.6207,              0.0093007,              0.0093007,              0.0093007
                      9,                0.64095,                0.73225,                 1.1432,                 0.3802,                0.46231,                0.45489,                0.36425,                 1.1866,                 2.4298,                 1.8569,              0.0092008,              0.0092008,              0.0092008
                     10,                0.66444,                0.74066,                 1.1457,                0.55669,                0.60466,                0.59449,                0.47573,                0.85881,                 1.7781,                 1.3375,              0.0091009,              0.0091009,              0.0091009
                     11,                0.62361,                0.73006,                 1.1199,                0.75453,                0.47092,                0.63869,                0.51372,                0.85392,                 1.8048,                 1.3568,               0.009001,               0.009001,               0.009001
                     12,                0.61592,                0.75479,                  1.103,                0.67306,                0.68268,                0.76531,                0.62439,                0.77247,                 1.2596,                 1.2544,              0.0089011,              0.0089011,              0.0089011
                     13,                0.64375,                0.72097,                 1.1292,                0.70745,                0.68157,                0.80516,                  0.656,                0.76752,                 1.2793,                 1.2662,              0.0088012,              0.0088012,              0.0088012
                     14,                0.62059,                0.68628,                 1.1004,                 0.6929,                0.70794,                0.80188,                0.65958,                0.78072,                 1.1772,                 1.2402,              0.0087013,              0.0087013,              0.0087013
                     15,                0.58483,                 0.6411,                 1.0649,                0.71816,                0.82158,                0.84286,                 0.6974,                0.74412,                 1.1162,                 1.2432,              0.0086014,              0.0086014,              0.0086014
                     16,                0.58672,                0.64016,                 1.0847,                 0.6928,                0.77782,                0.83074,                0.66759,                0.79042,                 1.0232,                 1.3207,              0.0085015,              0.0085015,              0.0085015
                     17,                0.60041,                0.66897,                  1.098,                0.84075,                0.74696,                0.87212,                0.72059,                0.77859,                0.95152,                  1.301,              0.0084016,              0.0084016,              0.0084016
                     18,                0.58687,                0.64723,                 1.0866,                0.59801,                0.79588,                 0.7761,                0.63903,                0.75292,                  1.313,                 1.2704,              0.0083017,              0.0083017,              0.0083017
