                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.30026,                0.28992,                0.87258,                0.83516,                0.76111,                0.87413,                0.77394,                0.63158,                0.86044,                 1.1856,                 0.0865,                 0.0015,                 0.0015
                      1,                0.33903,                0.32454,                0.89254,                0.75303,                0.76467,                0.84276,                0.72933,                0.64643,                0.83427,                 1.1949,               0.072069,               0.003069,               0.003069
                      2,                0.36834,                0.36204,                0.90891,                0.81424,                 0.7892,                0.84961,                0.70029,                0.72175,                0.94724,                 1.2652,               0.057606,               0.004606,               0.004606
                      3,                0.37996,                0.40052,                0.91117,                0.84007,                0.81537,                0.89259,                0.77726,                 0.6523,                0.72819,                 1.2044,               0.043111,               0.006111,               0.006111
                      4,                0.38293,                0.39253,                  0.914,                0.78073,                0.77792,                0.85884,                0.73529,                0.65691,                0.78696,                 1.1763,               0.028584,               0.007584,               0.007584
                      5,                0.40426,                0.43289,                0.93114,                0.70837,                0.78225,                0.81719,                 0.6815,                   0.71,                0.99808,                 1.2246,               0.014025,               0.009025,               0.009025
                      6,                0.48615,                0.49198,                0.99088,                0.72526,                0.71136,                0.79889,                0.66969,                0.66077,                 1.1546,                 1.1739,              0.0094001,              0.0094001,              0.0094001
                      7,                0.44987,                0.45811,                0.97486,                0.82575,                0.73656,                0.86562,                0.75796,                0.64865,                0.91148,                 1.1528,              0.0094001,              0.0094001,              0.0094001
                      8,                0.42091,                0.43335,                0.93842,                0.81948,                0.80287,                0.87526,                 0.7761,                0.59514,                0.80206,                    1.1,              0.0093001,              0.0093001,              0.0093001
                      9,                 0.4433,                0.46352,                 0.9644,                0.85416,                0.86285,                0.92457,                 0.8045,                0.61747,                0.66214,                 1.1159,              0.0092001,              0.0092001,              0.0092001
                     10,                0.43356,                0.44755,                0.96091,                0.86262,                0.79654,                0.86461,                0.75594,                0.63231,                0.79091,                 1.1563,              0.0091001,              0.0091001,              0.0091001
                     11,                0.42372,                0.43159,                0.95283,                0.74669,                0.73055,                0.80942,                0.68082,                0.74605,                 0.9994,                 1.2759,              0.0090001,              0.0090001,              0.0090001
                     12,                0.44434,                0.45201,                0.94937,                0.76318,                0.74303,                0.82867,                 0.7121,                0.70615,                 1.0579,                 1.1903,              0.0089001,              0.0089001,              0.0089001
                     13,                0.44488,                0.46259,                0.98313,                0.78522,                 0.8367,                0.88017,                 0.7522,                0.67856,                 0.8336,                 1.1803,              0.0088001,              0.0088001,              0.0088001
                     14,                0.40829,                0.42901,                  0.935,                0.84059,                  0.794,                0.89995,                0.77853,                0.64237,                0.77225,                 1.1969,              0.0087001,              0.0087001,              0.0087001
                     15,                0.41046,                 0.4131,                0.91916,                0.83868,                0.81048,                0.90943,                0.79965,                0.57664,                0.69593,                 1.1097,              0.0086001,              0.0086001,              0.0086001
                     16,                0.41378,                 0.4019,                0.94113,                0.84411,                0.79858,                0.89054,                0.78582,                0.61217,                0.73733,                 1.1352,              0.0085001,              0.0085001,              0.0085001
                     17,                0.44553,                 0.4253,                0.96613,                0.75366,                0.80409,                0.89141,                0.75023,                0.65513,                0.77008,                 1.1462,              0.0084002,              0.0084002,              0.0084002
                     18,                0.43457,                0.42324,                0.95109,                0.88319,                 0.8653,                0.93315,                0.82401,                0.57634,                0.65697,                 1.0798,              0.0083002,              0.0083002,              0.0083002
                     19,                0.41294,                0.40114,                0.94058,                 0.8556,                0.82794,                0.90915,                0.80764,                 0.5725,                0.74112,                 1.1014,              0.0082002,              0.0082002,              0.0082002
                     20,                0.41511,                 0.3981,                0.93402,                0.85216,                0.82754,                0.91339,                0.79184,                0.62534,                0.75811,                 1.1778,              0.0081002,              0.0081002,              0.0081002
                     21,                0.41442,                0.39964,                0.94443,                0.82493,                0.83056,                0.90793,                0.78901,                0.63211,                0.69649,                  1.162,              0.0080002,              0.0080002,              0.0080002
                     22,                0.39404,                0.41144,                 0.9348,                0.87541,                0.82962,                0.93962,                 0.8245,                0.60062,                 0.6649,                 1.1076,              0.0079002,              0.0079002,              0.0079002
                     23,                 0.3941,                 0.3954,                 0.9245,                0.91974,                0.89547,                0.95312,                0.84214,                0.60265,                 0.5909,                 1.1041,              0.0078002,              0.0078002,              0.0078002
                     24,                0.39265,                 0.3881,                0.93295,                0.88825,                0.81463,                0.91365,                0.79195,                0.60893,                0.67518,                 1.1304,              0.0077002,              0.0077002,              0.0077002
                     25,                0.37991,                0.37015,                0.90594,                 0.8571,                 0.8676,                0.92727,                0.80733,                0.61548,                0.60644,                 1.1331,              0.0076002,              0.0076002,              0.0076002
                     26,                0.39224,                0.38199,                0.94282,                0.80975,                0.80049,                0.92537,                 0.8033,                0.60555,                0.74264,                 1.1165,              0.0075002,              0.0075002,              0.0075002
                     27,                 0.3844,                0.37185,                0.92049,                0.88822,                0.85035,                0.92055,                0.81333,                0.60295,                0.62564,                  1.123,              0.0074003,              0.0074003,              0.0074003
                     28,                0.37967,                0.36714,                0.91473,                0.90963,                0.84313,                0.93851,                0.83902,                0.59094,                0.57662,                 1.1163,              0.0073003,              0.0073003,              0.0073003
                     29,                 0.3785,                0.38378,                0.91204,                0.81561,                0.89565,                0.94794,                  0.828,                0.59769,                0.64682,                 1.1022,              0.0072003,              0.0072003,              0.0072003
                     30,                0.37643,                0.37097,                0.92478,                0.84281,                0.81447,                0.88852,                0.78646,                0.61264,                0.75134,                 1.1053,              0.0071003,              0.0071003,              0.0071003
                     31,                0.35888,                0.34359,                0.91079,                0.81444,                0.83997,                0.90412,                 0.8005,                0.61924,                0.70918,                 1.1458,              0.0070003,              0.0070003,              0.0070003
                     32,                0.33783,                0.34904,                0.88661,                 0.8906,                0.82635,                0.90854,                0.80309,                0.59535,                0.65845,                 1.0894,              0.0069003,              0.0069003,              0.0069003
                     33,                0.36067,                0.35318,                0.90246,                0.88259,                0.85682,                0.93543,                0.83035,                0.56724,                0.65303,                 1.0774,              0.0068003,              0.0068003,              0.0068003
                     34,                0.36044,                 0.3462,                0.90389,                0.90496,                0.86101,                0.90888,                0.79273,                0.63409,                0.69726,                 1.1786,              0.0067003,              0.0067003,              0.0067003
                     35,                0.35739,                0.33767,                0.90664,                0.91887,                0.87092,                0.94161,                0.82952,                0.58497,                0.61593,                 1.0869,              0.0066003,              0.0066003,              0.0066003
                     36,                0.36058,                 0.3428,                0.89366,                0.90128,                0.85177,                0.94561,                0.84009,                0.57902,                 0.6495,                 1.0925,              0.0065004,              0.0065004,              0.0065004
                     37,                0.34449,                0.33602,                0.89688,                0.91721,                0.85843,                0.94916,                0.84359,                0.57509,                0.54984,                 1.0904,              0.0064004,              0.0064004,              0.0064004
                     38,                0.33759,                0.32639,                0.88179,                0.91647,                 0.8388,                0.93286,                 0.8289,                0.56607,                 0.5735,                 1.1034,              0.0063004,              0.0063004,              0.0063004
                     39,                0.32855,                0.30281,                0.88882,                0.89081,                0.88482,                0.94963,                0.85214,                0.54561,                0.54262,                 1.0889,              0.0062004,              0.0062004,              0.0062004
                     40,                0.33213,                0.30793,                0.88077,                0.91123,                0.85389,                0.93352,                0.83824,                0.54823,                0.54648,                 1.0747,              0.0061004,              0.0061004,              0.0061004
                     41,                0.33085,                0.30052,                0.87864,                0.94313,                0.85316,                0.94777,                0.84471,                0.54372,                0.53231,                 1.0714,              0.0060004,              0.0060004,              0.0060004
                     42,                0.31744,                0.30753,                0.88268,                0.92119,                0.85969,                0.94918,                0.85636,                0.55443,                0.56329,                 1.0944,              0.0059004,              0.0059004,              0.0059004
                     43,                0.31667,                0.29629,                0.86678,                0.86846,                0.87848,                0.94069,                0.82485,                0.58464,                0.56298,                 1.1159,              0.0058004,              0.0058004,              0.0058004
